entityId,name,description
1,鲁迅,中国现代文学的奠基人
2,金庸,武侠小说大师
3,余华,当代著名作家
4,Ian Goodfellow,深度学习领域的专家
5,周志华,机器学习领域的专家
6,尤瓦尔·赫拉利,历史学家、哲学家
22,钱钟书,中国现代作家、文学研究家
23,沈从文,中国现代作家，湘西文学代表
24,老舍,中国现代小说家、剧作家
25,巴金,中国现代作家、翻译家
26,曹禺,中国现代剧作家
27,张爱玲,中国现代女作家
28,朱自清,中国现代散文家、诗人
29,史铁生,中国当代作家、散文家
30,余秋雨,中国当代文化学者、散文家
31,龙应台,中国台湾作家、文学评论家
32,梁实秋,中国现代散文家、翻译家
33,蘅塘退士,清代学者，唐诗三百首编选者
34,朱祖谋,清末民初词人，宋词三百首编选者
35,泰戈尔,印度诗人、文学家
36,徐志摩,中国现代诗人、散文家
37,海子,中国当代诗人
38,艾青,中国现代诗人
39,霍金,英国理论物理学家、宇宙学家
40,曹天元,中国科普作家
41,伽莫夫,俄裔美籍物理学家、科普作家
42,理查德·道金斯,英国演化生物学家
43,比尔·布莱森,美国作家、科普作家
44,贾雷德·戴蒙德,美国生物地理学家、作家
45,Thomas Cormen,美国计算机科学家，算法导论作者
46,Donald Knuth,美国计算机科学家，算法分析之父
47,Randal Bryant,美国计算机科学家
48,Alfred Aho,加拿大计算机科学家，编译原理作者
49,James Kurose,美国计算机科学家，网络领域专家
50,Abraham Silberschatz,计算机科学家，数据库领域专家
51,乔斯坦·贾德,挪威作家，苏菲的世界作者
52,冯友兰,中国哲学家、哲学史家
53,柏拉图,古希腊哲学家
54,海德格尔,德国哲学家，存在主义代表人物
55,马可·奥勒留,古罗马皇帝、哲学家
56,老子,中国古代哲学家，道家创始人
57,Christopher Bishop,英国计算机科学家，机器学习专家
58,Richard Sutton,加拿大计算机科学家，强化学习之父
59,Daniel Jurafsky,美国计算机科学家，NLP领域专家
60,Richard Szeliski,美国计算机科学家，计算机视觉专家
61,黄仁宇,美籍华裔历史学家
62,斯塔夫里阿诺斯,美国历史学家，全球史观倡导者
63,钱穆,中国现代历史学家、国学大师
64,当年明月,中国当代作家，明朝那些事儿作者
